"model","confidence","forecast_dates","observations","availability","missing_forecast_rows","model_failures","exceptions","exception_rate","expected_exception_rate","kupiec_p_value","independence_p_value","independence_status","transition_pairs","conditional_coverage_p_value","coverage_status","own_sample_quantile_loss","common_observations","quantile_loss","joint_common_observations","joint_score_observations","joint_score_availability","mean_joint_score","joint_score_status","average_var","average_es","average_loss_var","average_loss_es","tail_observations","mean_tail_loss","mean_es_forecast_on_exceedance","mean_exceedance_residual","runtime_seconds","rank","joint_score_rank"
"gaussian",0.95,520,520,1,0,0,20,0.0384615384615385,0.05,0.209047475345379,0.217687475024742,"ok",519,0.212506913940005,"green",0.00269642487715495,520,0.00269642487715495,520,520,1,-2.90192960660368,"ok",0.0345348200777105,0.0435993680638972,0.0345348200777105,0.0435993680638972,20,0.0556569557155458,0.0413881076104085,0.0142688481051374,0.159999999999968,11,11
"copula_gaussian",0.99,520,520,1,0,0,5,0.00961538461538462,0.01,0.929307482906214,0.755121165904479,"ok",519,0.948783938938502,"green",0.000753145772878231,520,0.000753145772878231,520,520,1,-2.64824757896544,"ok",0.0522131971529671,0.0660799602639392,0.0522131971529671,0.0660799602639392,5,0.0692701232996207,0.0583190545281399,0.0109510687714808,567.589999999999,1,3
"copula_student",0.99,520,520,1,0,0,4,0.00769230769230769,0.01,0.581459602188924,0.803150362070801,"ok",519,0.832760884353765,"green",0.000754028518338677,520,0.000754028518338677,520,520,1,-2.64998360783256,"ok",0.0528976534068889,0.0678993921982688,0.0528976534068889,0.0678993921982688,4,0.0731470119261692,0.0571440711168241,0.0160029408093452,652.269999999998,2,1
"copula_garch",0.99,520,520,1,0,0,4,0.00769230769230769,0.01,0.581459602188924,0.803150362070801,"ok",519,0.832760884353765,"green",0.000759828778039283,520,0.000759828778039283,520,520,1,-2.6497823684523,"ok",0.0546309626538522,0.0702469039259225,0.0546309626538522,0.0702469039259225,4,0.0731470119261692,0.0597592243082007,0.0133877876179685,647.64,3,2
"copula_bb1",0.99,520,520,1,0,0,4,0.00769230769230769,0.01,0.581459602188924,0.803150362070801,"ok",519,0.832760884353765,"green",0.000764936822499901,520,0.000764936822499901,520,520,1,-2.64099596625279,"ok",0.0553068768430292,0.0713762017974664,0.0553068768430292,0.0713762017974664,4,0.0731470119261692,0.0601119294406368,0.0130350824855324,688.189999999997,4,4
"garch_t",0.99,520,520,1,0,0,8,0.0153846153846154,0.01,0.252796346542354,0.104399111459063,"ok",519,0.139122215759746,"amber",0.000815281115923052,520,0.000815281115923052,520,520,1,-2.4841456837442,"ok",0.0472504029214745,0.0632502057199979,0.0472504029214745,0.0632502057199979,8,0.070563401455641,0.0663522167336732,0.00421118472196779,51.9700000000003,5,5
"copula_independence",0.99,520,520,1,0,0,15,0.0288461538461538,0.01,0.00043640437733525,0.444765871517597,"ok",519,0.00153883727833647,"red",0.000829550851078255,520,0.000829550851078255,520,520,1,-2.33532357374012,"ok",0.0388152584429563,0.0482628847422221,0.0388152584429563,0.0482628847422221,15,0.0558664436165121,0.0508468908793245,0.00501955273718765,566.659999999998,6,6
"filtered_historical",0.99,520,520,1,0,0,6,0.0115384615384615,0.01,0.730717371020024,0.0516867816829947,"ok",519,0.141966230070968,"green",0.000973142322867265,520,0.000973142322867265,520,520,1,-2.29363145126292,"ok",0.0668615097300025,0.0906866704479043,0.0668615097300025,0.0906866704479043,6,0.078337613101599,0.0714991582347321,0.0068384548668669,0.30999999999991,7,7
"ewma",0.99,520,520,1,0,0,13,0.025,0.01,0.00387316317692576,0.324865882350374,"ok",519,0.00950631485162615,"red",0.00100666633717288,520,0.00100666633717288,520,520,1,-1.68886568300176,"ok",0.0423686137294157,0.0487726002431772,0.0423686137294157,0.0487726002431772,13,0.0544339720697375,0.0367480789465562,0.0176858931231813,0.200000000000003,8,11
"historical",0.99,520,520,1,0,0,4,0.00769230769230769,0.01,0.581459602188924,0.0185922223532755,"ok",519,0.053843423947435,"green",0.00102884330595632,520,0.00102884330595632,520,520,1,-2.20394461317721,"ok",0.0595074465241197,0.0953192687886211,0.0595074465241197,0.0953192687886211,4,0.109300877889253,0.0836636080311549,0.025637269858098,0.329999999999949,9,8
