"confidence","return_quantile","loss_var","loss_es","var","es","tail_observations","tail_effective_observations","method","n_simulations","seed"
0.99,-0.0406074410307498,0.0406074410307498,0.0524730905310657,0.0406074410307498,0.0524730905310657,50,50,"empirical",5000,130363
0.95,-0.0236715021430224,0.0236715021430224,0.0338813120895918,0.0236715021430224,0.0338813120895918,250,250,"empirical",5000,155921
0.99,-0.0399128658816087,0.0399128658816087,0.0497591486837817,0.0399128658816087,0.0497591486837817,50,50,"empirical",5000,155921
0.95,-0.0235143348440566,0.0235143348440566,0.0329810821280353,0.0235143348440566,0.0329810821280353,250,250,"empirical",5000,196613
0.99,-0.0380236324524723,0.0380236324524723,0.0466846110213984,0.0380236324524723,0.0466846110213984,50,50,"empirical",5000,196613
0.95,-0.022387615490934,0.022387615490934,0.0316768061834277,0.022387615490934,0.0316768061834277,250,250,"empirical",5000,232003
0.99,-0.0367844285664858,0.0367844285664858,0.048265629170465,0.0367844285664858,0.048265629170465,50,50,"empirical",5000,232003
0.95,-0.0229871438867713,0.0229871438867713,0.0323925580339561,0.0229871438867713,0.0323925580339561,500,500,"empirical",10000,104729
0.99,-0.0381357509189944,0.0381357509189944,0.046992774948756,0.0381357509189944,0.046992774948756,100,100,"empirical",10000,104729
0.95,-0.0240818714726605,0.0240818714726605,0.0346655484865837,0.0240818714726605,0.0346655484865837,500,500,"empirical",10000,130363
0.99,-0.040602594411999,0.040602594411999,0.0525840837250246,0.040602594411999,0.0525840837250246,100,100,"empirical",10000,130363
0.95,-0.0235147366873744,0.0235147366873744,0.033594886517076,0.0235147366873744,0.033594886517076,500,500,"empirical",10000,155921
0.99,-0.0395972557955307,0.0395972557955307,0.0501980439548414,0.0395972557955307,0.0501980439548414,100,100,"empirical",10000,155921
0.95,-0.0241730450983727,0.0241730450983727,0.0334428006835366,0.0241730450983727,0.0334428006835366,500,500,"empirical",10000,196613
0.99,-0.0390424828315074,0.0390424828315074,0.0472919938263143,0.0390424828315074,0.0472919938263143,100,100,"empirical",10000,196613
0.95,-0.0228609729861305,0.0228609729861305,0.0317438106620825,0.0228609729861305,0.0317438106620825,500,500,"empirical",10000,232003
0.99,-0.0373258653363764,0.0373258653363764,0.0459416303396679,0.0373258653363764,0.0459416303396679,100,100,"empirical",10000,232003
0.95,-0.0236696511445874,0.0236696511445874,0.0335301834388717,0.0236696511445874,0.0335301834388717,1000,1000,"empirical",20000,104729
0.99,-0.0393165705077576,0.0393165705077576,0.0493257852697155,0.0393165705077576,0.0493257852697155,200,200,"empirical",20000,104729
0.95,-0.0238860624149888,0.0238860624149888,0.0342455433103973,0.0238860624149888,0.0342455433103973,1000,1000,"empirical",20000,130363
0.99,-0.0403312368210226,0.0403312368210226,0.0518156504776117,0.0403312368210226,0.0518156504776117,200,200,"empirical",20000,130363
0.95,-0.0233747203944106,0.0233747203944106,0.0335523768264161,0.0233747203944106,0.0335523768264161,1000,1000,"empirical",20000,155921
0.99,-0.0399127050632494,0.0399127050632494,0.0499475889439881,0.0399127050632494,0.0499475889439881,200,200,"empirical",20000,155921
0.95,-0.0238404301036754,0.0238404301036754,0.0332478681382914,0.0238404301036754,0.0332478681382914,1000,1000,"empirical",20000,196613
0.99,-0.0389355946460434,0.0389355946460434,0.0480410407479403,0.0389355946460434,0.0480410407479403,200,200,"empirical",20000,196613
0.95,-0.0233123584197833,0.0233123584197833,0.032504233018764,0.0233123584197833,0.032504233018764,1000,1000,"empirical",20000,232003
0.99,-0.0377074681606418,0.0377074681606418,0.0476964717315769,0.0377074681606418,0.0476964717315769,200,200,"empirical",20000,232003
0.95,-0.0237901195798183,0.0237901195798183,0.0335457126436615,0.0237901195798183,0.0335457126436615,2500,2500,"empirical",50000,104729
0.99,-0.0393849816563634,0.0393849816563634,0.0490737364589526,0.0393849816563634,0.0490737364589526,500,500,"empirical",50000,104729
0.95,-0.023649967089522,0.023649967089522,0.0336663771727741,0.023649967089522,0.0336663771727741,2500,2500,"empirical",50000,130363
0.99,-0.03941324862918,0.03941324862918,0.0502115986567637,0.03941324862918,0.0502115986567637,500,500,"empirical",50000,130363
0.95,-0.0234376156074434,0.0234376156074434,0.0332775274839941,0.0234376156074434,0.0332775274839941,2500,2500,"empirical",50000,155921
0.99,-0.0390004670491716,0.0390004670491716,0.0493102263798989,0.0390004670491716,0.0493102263798989,500,500,"empirical",50000,155921
0.95,-0.0239002405171245,0.0239002405171245,0.0333637535460401,0.0239002405171245,0.0333637535460401,2500,2500,"empirical",50000,196613
0.99,-0.0390094682845717,0.0390094682845717,0.0481088582672834,0.0390094682845717,0.0481088582672834,500,500,"empirical",50000,196613
0.95,-0.0235176792295893,0.0235176792295893,0.0331368581475626,0.0235176792295893,0.0331368581475626,2500,2500,"empirical",50000,232003
0.99,-0.0385749957511078,0.0385749957511078,0.0491627684368454,0.0385749957511078,0.0491627684368454,500,500,"empirical",50000,232003
0.95,-0.0235326132546514,0.0235326132546514,0.0332691148679711,0.0235326132546514,0.0332691148679711,5000,5000,"empirical",100000,104729
0.99,-0.0392658631880511,0.0392658631880511,0.0489396531237168,0.0392658631880511,0.0489396531237168,1000,1000,"empirical",100000,104729
0.95,-0.0235838984809988,0.0235838984809988,0.0335723858674156,0.0235838984809988,0.0335723858674156,5000,5000,"empirical",100000,130363
0.99,-0.0394127200597478,0.0394127200597478,0.0500190417520976,0.0394127200597478,0.0500190417520976,1000,1000,"empirical",100000,130363
0.95,-0.0234052453606954,0.0234052453606954,0.0330878591341253,0.0234052453606954,0.0330878591341253,5000,5000,"empirical",100000,155921
0.99,-0.0385361201482704,0.0385361201482704,0.0490215782340753,0.0385361201482704,0.0490215782340753,1000,1000,"empirical",100000,155921
0.95,-0.0236955262153398,0.0236955262153398,0.0332734137636358,0.0236955262153398,0.0332734137636358,5000,5000,"empirical",100000,196613
0.99,-0.0388670626585289,0.0388670626585289,0.048492161787508,0.0388670626585289,0.048492161787508,1000,1000,"empirical",100000,196613
0.95,-0.0235165520361771,0.0235165520361771,0.0331567388890965,0.0235165520361771,0.0331567388890965,5000,5000,"empirical",100000,232003
0.99,-0.0387464940912666,0.0387464940912666,0.048962475598044,0.0387464940912666,0.048962475598044,1000,1000,"empirical",100000,232003
