"valuation_date","ticker","quote_date","stale_days","price"
2013-04-19,"^GSPC",2013-04-19,0,1555.25
2013-04-26,"^GSPC",2013-04-26,0,1582.23999023438
2013-05-03,"^GSPC",2013-05-03,0,1614.42004394531
2013-05-10,"^GSPC",2013-05-10,0,1633.69995117188
2013-05-17,"^GSPC",2013-05-17,0,1667.46997070312
2013-05-24,"^GSPC",2013-05-24,0,1649.59997558594
2013-05-31,"^GSPC",2013-05-31,0,1630.73999023438
2013-06-07,"^GSPC",2013-06-07,0,1643.38000488281
2013-06-14,"^GSPC",2013-06-14,0,1626.72998046875
2013-06-21,"^GSPC",2013-06-21,0,1592.43005371094
2013-06-28,"^GSPC",2013-06-28,0,1606.28002929688
2013-07-05,"^GSPC",2013-07-05,0,1631.89001464844
2013-07-12,"^GSPC",2013-07-12,0,1680.18994140625
2013-07-19,"^GSPC",2013-07-19,0,1692.08996582031
2013-07-26,"^GSPC",2013-07-26,0,1691.65002441406
2013-08-02,"^GSPC",2013-08-02,0,1709.67004394531
2013-08-09,"^GSPC",2013-08-09,0,1691.42004394531
2013-08-16,"^GSPC",2013-08-16,0,1655.82995605469
2013-08-23,"^GSPC",2013-08-23,0,1663.5
2013-08-30,"^GSPC",2013-08-30,0,1632.96997070312
2013-09-06,"^GSPC",2013-09-06,0,1655.17004394531
2013-09-13,"^GSPC",2013-09-13,0,1687.98999023438
2013-09-20,"^GSPC",2013-09-20,0,1709.91003417969
2013-09-27,"^GSPC",2013-09-27,0,1691.75
2013-10-04,"^GSPC",2013-10-04,0,1690.5
2013-10-11,"^GSPC",2013-10-11,0,1703.19995117188
2013-10-18,"^GSPC",2013-10-18,0,1744.5
2013-10-25,"^GSPC",2013-10-25,0,1759.77001953125
2013-11-01,"^GSPC",2013-11-01,0,1761.64001464844
2013-11-08,"^GSPC",2013-11-08,0,1770.60998535156
2013-11-15,"^GSPC",2013-11-15,0,1798.18005371094
2013-11-22,"^GSPC",2013-11-22,0,1804.76000976562
2013-11-29,"^GSPC",2013-11-29,0,1805.81005859375
2013-12-06,"^GSPC",2013-12-06,0,1805.08996582031
2013-12-13,"^GSPC",2013-12-13,0,1775.31994628906
2013-12-20,"^GSPC",2013-12-20,0,1818.31994628906
2013-12-27,"^GSPC",2013-12-27,0,1841.40002441406
2014-01-03,"^GSPC",2014-01-03,0,1831.36999511719
2014-01-10,"^GSPC",2014-01-10,0,1842.36999511719
2014-01-17,"^GSPC",2014-01-17,0,1838.69995117188
2014-01-24,"^GSPC",2014-01-24,0,1790.2900390625
2014-01-31,"^GSPC",2014-01-31,0,1782.58996582031
2014-02-07,"^GSPC",2014-02-07,0,1797.02001953125
2014-02-14,"^GSPC",2014-02-14,0,1838.63000488281
2014-02-21,"^GSPC",2014-02-21,0,1836.25
2014-02-28,"^GSPC",2014-02-28,0,1859.44995117188
2014-03-07,"^GSPC",2014-03-07,0,1878.0400390625
2014-03-14,"^GSPC",2014-03-14,0,1841.13000488281
2014-03-21,"^GSPC",2014-03-21,0,1866.52001953125
2014-03-28,"^GSPC",2014-03-28,0,1857.61999511719
2014-04-04,"^GSPC",2014-04-04,0,1865.08996582031
2014-04-11,"^GSPC",2014-04-11,0,1815.68994140625
2014-04-18,"^GSPC",2014-04-17,1,1864.84997558594
2014-04-25,"^GSPC",2014-04-25,0,1863.40002441406
2014-05-02,"^GSPC",2014-05-02,0,1881.14001464844
2014-05-09,"^GSPC",2014-05-09,0,1878.47998046875
2014-05-16,"^GSPC",2014-05-16,0,1877.85998535156
2014-05-23,"^GSPC",2014-05-23,0,1900.53002929688
2014-05-30,"^GSPC",2014-05-30,0,1923.56994628906
2014-06-06,"^GSPC",2014-06-06,0,1949.43994140625
2014-06-13,"^GSPC",2014-06-13,0,1936.16003417969
2014-06-20,"^GSPC",2014-06-20,0,1962.86999511719
2014-06-27,"^GSPC",2014-06-27,0,1960.9599609375
2014-07-04,"^GSPC",2014-07-03,1,1985.43994140625
2014-07-11,"^GSPC",2014-07-11,0,1967.56994628906
2014-07-18,"^GSPC",2014-07-18,0,1978.21997070312
2014-07-25,"^GSPC",2014-07-25,0,1978.33996582031
2014-08-01,"^GSPC",2014-08-01,0,1925.15002441406
2014-08-08,"^GSPC",2014-08-08,0,1931.58996582031
2014-08-15,"^GSPC",2014-08-15,0,1955.06005859375
2014-08-22,"^GSPC",2014-08-22,0,1988.40002441406
2014-08-29,"^GSPC",2014-08-29,0,2003.36999511719
2014-09-05,"^GSPC",2014-09-05,0,2007.7099609375
2014-09-12,"^GSPC",2014-09-12,0,1985.5400390625
2014-09-19,"^GSPC",2014-09-19,0,2010.40002441406
2014-09-26,"^GSPC",2014-09-26,0,1982.84997558594
2014-10-03,"^GSPC",2014-10-03,0,1967.90002441406
2014-10-10,"^GSPC",2014-10-10,0,1906.13000488281
2014-10-17,"^GSPC",2014-10-17,0,1886.76000976562
2014-10-24,"^GSPC",2014-10-24,0,1964.57995605469
2014-10-31,"^GSPC",2014-10-31,0,2018.05004882812
2014-11-07,"^GSPC",2014-11-07,0,2031.92004394531
2014-11-14,"^GSPC",2014-11-14,0,2039.81994628906
2014-11-21,"^GSPC",2014-11-21,0,2063.5
2014-11-28,"^GSPC",2014-11-28,0,2067.56005859375
2014-12-05,"^GSPC",2014-12-05,0,2075.3701171875
2014-12-12,"^GSPC",2014-12-12,0,2002.32995605469
2014-12-19,"^GSPC",2014-12-19,0,2070.64990234375
2014-12-26,"^GSPC",2014-12-26,0,2088.77001953125
2015-01-02,"^GSPC",2015-01-02,0,2058.19995117188
2015-01-09,"^GSPC",2015-01-09,0,2044.81005859375
2015-01-16,"^GSPC",2015-01-16,0,2019.42004394531
2015-01-23,"^GSPC",2015-01-23,0,2051.82006835938
2015-01-30,"^GSPC",2015-01-30,0,1994.98999023438
2015-02-06,"^GSPC",2015-02-06,0,2055.46997070312
2015-02-13,"^GSPC",2015-02-13,0,2096.98999023438
2015-02-20,"^GSPC",2015-02-20,0,2110.30004882812
2015-02-27,"^GSPC",2015-02-27,0,2104.5
2015-03-06,"^GSPC",2015-03-06,0,2071.26000976562
2015-03-13,"^GSPC",2015-03-13,0,2053.39990234375
2015-03-20,"^GSPC",2015-03-20,0,2108.10009765625
2015-03-27,"^GSPC",2015-03-27,0,2061.02001953125
2015-04-03,"^GSPC",2015-04-02,1,2066.9599609375
2015-04-10,"^GSPC",2015-04-10,0,2102.06005859375
2015-04-17,"^GSPC",2015-04-17,0,2081.17993164062
2015-04-24,"^GSPC",2015-04-24,0,2117.68994140625
2015-05-01,"^GSPC",2015-05-01,0,2108.2900390625
2015-05-08,"^GSPC",2015-05-08,0,2116.10009765625
2015-05-15,"^GSPC",2015-05-15,0,2122.72998046875
2015-05-22,"^GSPC",2015-05-22,0,2126.06005859375
2015-05-29,"^GSPC",2015-05-29,0,2107.38989257812
2015-06-05,"^GSPC",2015-06-05,0,2092.830078125
2015-06-12,"^GSPC",2015-06-12,0,2094.11010742188
2015-06-19,"^GSPC",2015-06-19,0,2109.98999023438
2015-06-26,"^GSPC",2015-06-26,0,2101.48999023438
2015-07-03,"^GSPC",2015-07-02,1,2076.78002929688
2015-07-10,"^GSPC",2015-07-10,0,2076.6201171875
2015-07-17,"^GSPC",2015-07-17,0,2126.63989257812
2015-07-24,"^GSPC",2015-07-24,0,2079.64990234375
2015-07-31,"^GSPC",2015-07-31,0,2103.84008789062
2015-08-07,"^GSPC",2015-08-07,0,2077.57006835938
2015-08-14,"^GSPC",2015-08-14,0,2091.5400390625
2015-08-21,"^GSPC",2015-08-21,0,1970.89001464844
2015-08-28,"^GSPC",2015-08-28,0,1988.86999511719
2015-09-04,"^GSPC",2015-09-04,0,1921.21997070312
2015-09-11,"^GSPC",2015-09-11,0,1961.05004882812
2015-09-18,"^GSPC",2015-09-18,0,1958.03002929688
2015-09-25,"^GSPC",2015-09-25,0,1931.33996582031
2015-10-02,"^GSPC",2015-10-02,0,1951.35998535156
2015-10-09,"^GSPC",2015-10-09,0,2014.89001464844
2015-10-16,"^GSPC",2015-10-16,0,2033.10998535156
2015-10-23,"^GSPC",2015-10-23,0,2075.14990234375
2015-10-30,"^GSPC",2015-10-30,0,2079.36010742188
2015-11-06,"^GSPC",2015-11-06,0,2099.19995117188
2015-11-13,"^GSPC",2015-11-13,0,2023.0400390625
2015-11-20,"^GSPC",2015-11-20,0,2089.169921875
2015-11-27,"^GSPC",2015-11-27,0,2090.11010742188
2015-12-04,"^GSPC",2015-12-04,0,2091.68994140625
2015-12-11,"^GSPC",2015-12-11,0,2012.36999511719
2015-12-18,"^GSPC",2015-12-18,0,2005.55004882812
2015-12-25,"^GSPC",2015-12-24,1,2060.98999023438
2016-01-01,"^GSPC",2015-12-31,1,2043.93994140625
2016-01-08,"^GSPC",2016-01-08,0,1922.03002929688
2016-01-15,"^GSPC",2016-01-15,0,1880.32995605469
2016-01-22,"^GSPC",2016-01-22,0,1906.90002441406
2016-01-29,"^GSPC",2016-01-29,0,1940.23999023438
2016-02-05,"^GSPC",2016-02-05,0,1880.05004882812
2016-02-12,"^GSPC",2016-02-12,0,1864.78002929688
2016-02-19,"^GSPC",2016-02-19,0,1917.78002929688
2016-02-26,"^GSPC",2016-02-26,0,1948.05004882812
2016-03-04,"^GSPC",2016-03-04,0,1999.98999023438
2016-03-11,"^GSPC",2016-03-11,0,2022.18994140625
2016-03-18,"^GSPC",2016-03-18,0,2049.580078125
2016-03-25,"^GSPC",2016-03-24,1,2035.93994140625
2016-04-01,"^GSPC",2016-04-01,0,2072.78002929688
2016-04-08,"^GSPC",2016-04-08,0,2047.59997558594
2016-04-15,"^GSPC",2016-04-15,0,2080.72998046875
2016-04-22,"^GSPC",2016-04-22,0,2091.580078125
2016-04-29,"^GSPC",2016-04-29,0,2065.30004882812
2016-05-06,"^GSPC",2016-05-06,0,2057.13989257812
2016-05-13,"^GSPC",2016-05-13,0,2046.60998535156
2016-05-20,"^GSPC",2016-05-20,0,2052.32006835938
2016-05-27,"^GSPC",2016-05-27,0,2099.06005859375
2016-06-03,"^GSPC",2016-06-03,0,2099.1298828125
2016-06-10,"^GSPC",2016-06-10,0,2096.07006835938
2016-06-17,"^GSPC",2016-06-17,0,2071.21997070312
2016-06-24,"^GSPC",2016-06-24,0,2037.41003417969
2016-07-01,"^GSPC",2016-07-01,0,2102.94995117188
2016-07-08,"^GSPC",2016-07-08,0,2129.89990234375
2016-07-15,"^GSPC",2016-07-15,0,2161.73999023438
2016-07-22,"^GSPC",2016-07-22,0,2175.03002929688
2016-07-29,"^GSPC",2016-07-29,0,2173.60009765625
2016-08-05,"^GSPC",2016-08-05,0,2182.8701171875
2016-08-12,"^GSPC",2016-08-12,0,2184.05004882812
2016-08-19,"^GSPC",2016-08-19,0,2183.8701171875
2016-08-26,"^GSPC",2016-08-26,0,2169.0400390625
2016-09-02,"^GSPC",2016-09-02,0,2179.97998046875
2016-09-09,"^GSPC",2016-09-09,0,2127.81005859375
2016-09-16,"^GSPC",2016-09-16,0,2139.15991210938
2016-09-23,"^GSPC",2016-09-23,0,2164.68994140625
2016-09-30,"^GSPC",2016-09-30,0,2168.27001953125
2016-10-07,"^GSPC",2016-10-07,0,2153.73999023438
2016-10-14,"^GSPC",2016-10-14,0,2132.97998046875
2016-10-21,"^GSPC",2016-10-21,0,2141.15991210938
2016-10-28,"^GSPC",2016-10-28,0,2126.40991210938
2016-11-04,"^GSPC",2016-11-04,0,2085.17993164062
2016-11-11,"^GSPC",2016-11-11,0,2164.44995117188
2016-11-18,"^GSPC",2016-11-18,0,2181.89990234375
2016-11-25,"^GSPC",2016-11-25,0,2213.35009765625
2016-12-02,"^GSPC",2016-12-02,0,2191.94995117188
2016-12-09,"^GSPC",2016-12-09,0,2259.53002929688
2016-12-16,"^GSPC",2016-12-16,0,2258.07006835938
2016-12-23,"^GSPC",2016-12-23,0,2263.7900390625
2016-12-30,"^GSPC",2016-12-30,0,2238.830078125
2017-01-06,"^GSPC",2017-01-06,0,2276.97998046875
2017-01-13,"^GSPC",2017-01-13,0,2274.63989257812
2017-01-20,"^GSPC",2017-01-20,0,2271.31005859375
2017-01-27,"^GSPC",2017-01-27,0,2294.68994140625
2017-02-03,"^GSPC",2017-02-03,0,2297.419921875
2017-02-10,"^GSPC",2017-02-10,0,2316.10009765625
2017-02-17,"^GSPC",2017-02-17,0,2351.15991210938
2017-02-24,"^GSPC",2017-02-24,0,2367.34008789062
2017-03-03,"^GSPC",2017-03-03,0,2383.1201171875
2017-03-10,"^GSPC",2017-03-10,0,2372.60009765625
2017-03-17,"^GSPC",2017-03-17,0,2378.25
2017-03-24,"^GSPC",2017-03-24,0,2343.97998046875
2017-03-31,"^GSPC",2017-03-31,0,2362.71997070312
2017-04-07,"^GSPC",2017-04-07,0,2355.5400390625
2017-04-14,"^GSPC",2017-04-13,1,2328.94995117188
2017-04-21,"^GSPC",2017-04-21,0,2348.68994140625
2017-04-28,"^GSPC",2017-04-28,0,2384.19995117188
2017-05-05,"^GSPC",2017-05-05,0,2399.2900390625
2017-05-12,"^GSPC",2017-05-12,0,2390.89990234375
2017-05-19,"^GSPC",2017-05-19,0,2381.72998046875
2017-05-26,"^GSPC",2017-05-26,0,2415.82006835938
2017-06-02,"^GSPC",2017-06-02,0,2439.07006835938
2017-06-09,"^GSPC",2017-06-09,0,2431.77001953125
2017-06-16,"^GSPC",2017-06-16,0,2433.14990234375
2017-06-23,"^GSPC",2017-06-23,0,2438.30004882812
2017-06-30,"^GSPC",2017-06-30,0,2423.40991210938
2017-07-07,"^GSPC",2017-07-07,0,2425.17993164062
2017-07-14,"^GSPC",2017-07-14,0,2459.27001953125
2017-07-21,"^GSPC",2017-07-21,0,2472.5400390625
2017-07-28,"^GSPC",2017-07-28,0,2472.10009765625
2017-08-04,"^GSPC",2017-08-04,0,2476.830078125
2017-08-11,"^GSPC",2017-08-11,0,2441.32006835938
2017-08-18,"^GSPC",2017-08-18,0,2425.55004882812
2017-08-25,"^GSPC",2017-08-25,0,2443.05004882812
2017-09-01,"^GSPC",2017-09-01,0,2476.55004882812
2017-09-08,"^GSPC",2017-09-08,0,2461.42993164062
2017-09-15,"^GSPC",2017-09-15,0,2500.22998046875
2017-09-22,"^GSPC",2017-09-22,0,2502.21997070312
